販売日時,拠点,アイテムコード,販売前在庫,販売数,売上金額
2023-05-12,A,B,10,4249373,871866159
2023-05-04,A,B,10,3832386,881890229
2023-05-23,A,B,10,2902887,596664076
2023-04-08,A,B,10,5075657,1074437769
2023-04-03,A,B,10,3519898,743717600
2023-04-20,A,B,10,4202925,844679028
2023-04-12,A,B,10,4038688,825149587
2023-05-01,A,B,10,3792365,837322822
2023-05-22,A,B,10,4149535,813882430
2023-04-25,A,B,10,3566009,766205993
2023-04-24,A,B,10,3678653,761744057
2023-04-07,A,B,10,3386871,672586315
2023-04-29,A,B,10,5054419,1165744277
2023-05-18,A,B,10,3839109,821939384
2023-05-05,A,B,10,3739237,857677933
2023-05-06,A,B,10,5054340,1074852139
2023-05-25,A,B,10,4571988,887701142
2023-05-30,A,B,10,3646755,780788451
2023-04-16,A,B,10,6042187,1364752869
2023-05-31,A,B,10,4602379,926738005
2023-05-20,A,B,10,5192466,1058564419
2023-05-03,A,B,10,4064054,891516790
2023-05-29,A,B,10,3120334,654861686
2023-05-09,A,B,10,3762993,791064692
2023-05-28,A,B,10,6106861,1433001976
2023-04-04,A,B,10,3677837,771383318
2023-05-21,A,B,10,6163144,1265402123
2023-04-15,A,B,10,3684310,811343963
2023-05-15,A,B,10,3340052,714788923
2023-04-11,A,B,10,3560402,765634706
2023-05-24,A,B,10,5100504,1014252499
2023-04-19,A,B,10,4798357,958043735
2023-04-21,A,B,10,3872425,768738531
2023-04-30,A,B,10,5105073,1183562728
2023-05-19,A,B,10,3161023,673306256
2023-05-16,A,B,10,3747463,817944026
2023-04-14,A,B,10,4092649,842027119
2023-04-26,A,B,10,3457220,710070576
2023-05-13,A,B,10,4432096,1000455899
2023-05-26,A,B,10,3800309,789340105
2023-05-10,A,B,10,5239772,928237930
2023-04-23,A,B,10,5606936,1278683006
2023-04-02,A,B,10,5092252,1136307766
2023-04-13,A,B,10,3814294,796315965
2023-05-08,A,B,10,4206751,852610510
2023-04-10,A,B,10,3858910,786554005
2023-04-28,A,B,10,3766482,796408147
2023-04-18,A,B,10,3594934,749977716
2023-05-27,A,B,10,5189791,1185102633
2023-04-01,A,B,10,6266641,1244380924
2023-05-07,A,B,10,4333966,923326888
2023-04-22,A,B,10,4834412,1072107454
2023-04-27,A,B,10,4513999,930404161
2023-05-17,A,B,10,4366422,876977332
2023-05-14,A,B,10,5221761,1247324482
2023-04-09,A,B,10,6005739,1308555442
2023-04-06,A,B,10,4300588,824778637
2023-05-02,A,B,10,3667315,806634174
2023-04-17,A,B,10,3894139,820398172
2023-04-05,A,B,10,4671928,917099910
2023-05-11,A,B,10,3977943,787575779
