販売日時,拠点,アイテムコード,販売前在庫,販売数,売上金額
2023-06-05,A,B,10,3829562,793245843
2023-06-24,A,B,10,5361320,1212895037
2023-10-10,A,B,10,3855533,839995760
2023-10-14,A,B,10,5367329,1221933883
2023-06-20,A,B,10,3511868,758100897
2023-10-13,A,B,10,3912227,833253072
2023-07-14,A,B,10,3741851,794315047
2023-06-10,A,B,10,5464504,1197089584
2023-10-05,A,B,10,4254926,917705343
2023-06-25,A,B,10,6056132,1415481223
2023-07-11,A,B,10,3593444,773684162
2023-08-17,A,B,10,4126758,863421676
2023-07-24,A,B,10,3897326,792988858
2023-07-07,A,B,10,3859115,793573132
2023-08-05,A,B,10,4641234,1029902471
2023-08-24,A,B,10,4402415,880168022
2023-07-12,A,B,10,4640848,948277941
2023-07-26,A,B,10,4098542,857352333
2023-06-09,A,B,10,3288275,698425933
2023-06-14,A,B,10,4799577,862602669
2023-08-07,A,B,10,3812497,795390205
2023-06-18,A,B,10,5324992,1257368378
2023-09-10,A,B,10,5593717,1296485803
2023-07-10,A,B,10,3870979,801161908
2023-07-31,A,B,10,3783002,804795811
2023-06-06,A,B,10,3228260,701876160
2023-07-08,A,B,10,5054650,1081710179
2023-06-27,A,B,10,3581297,762080927
2023-08-01,A,B,10,3395771,721534383
2023-09-27,A,B,10,4632133,913784112
2023-06-19,A,B,10,3665177,781448481
2023-07-06,A,B,10,4186440,864112393
2023-07-23,A,B,10,5543612,1223212743
2023-10-03,A,B,10,3513262,775564650
2023-09-23,A,B,10,5188876,1210130474
2023-06-12,A,B,10,3406796,707733582
2023-07-18,A,B,10,3722282,780423298
2023-08-04,A,B,10,3900107,793259247
2023-10-02,A,B,10,3717288,801477835
2023-06-04,A,B,10,5723474,1279712427
2023-09-13,A,B,10,4098326,877811633
2023-08-22,A,B,10,3439767,721963531
2023-08-20,A,B,10,5498605,1199625888
2023-07-09,A,B,10,5634042,1234054416
2023-08-15,A,B,10,3729219,834008011
2023-09-21,A,B,10,3784418,830720661
2023-08-21,A,B,10,3869518,803287284
