販売日時,拠点,アイテムコード,販売前在庫,販売数,売上金額
2023-09-08,A,B,10,2618547,534988582
2023-06-02,A,B,10,2464632,504161366
2023-09-03,A,B,10,5933579,1306795880
2023-08-26,A,B,10,4908449,1126589293
2023-06-13,A,B,10,3939104,830569258
2023-06-21,A,B,10,4661656,978898782
2023-07-27,A,B,10,4190508,847742196
2023-07-22,A,B,10,4869631,1052740678
2023-07-13,A,B,10,4042209,877220520
2023-09-17,A,B,10,5079470,1200926498
2023-06-23,A,B,10,3769180,801523520
2023-07-01,A,B,10,4350522,963949875
2023-08-12,A,B,10,4770233,1113754195
2023-08-25,A,B,10,4112941,819936807
2023-06-17,A,B,10,4522861,1045318223
2023-08-19,A,B,10,4612563,998760617
2023-06-07,A,B,10,4429792,942540283
2023-08-18,A,B,10,3736358,789866591
2023-09-11,A,B,10,3944240,833930055
2023-09-30,A,B,10,4416367,1040312859
2023-10-15,A,B,10,4819391,1109843317
2023-06-08,A,B,10,4092048,884923643
2023-10-08,A,B,10,5400944,1291845391
2023-10-07,A,B,10,4662126,1107870200
2023-07-29,A,B,10,4680607,1098251606
2023-09-05,A,B,10,3779335,809413160
2023-07-19,A,B,10,4718017,943469822
2023-09-12,A,B,10,3463824,760529364
2023-06-11,A,B,10,4886230,1099761671
2023-06-28,A,B,10,4576442,905700257
2023-09-29,A,B,10,3873927,814574614
2023-10-12,A,B,10,4331852,890074633
2023-10-09,A,B,10,3621839,808946428
2023-07-04,A,B,10,3604424,766620713
2023-09-14,A,B,10,4018568,861805596
2023-10-06,A,B,10,3926056,805373930
2023-09-20,A,B,10,4278390,909205805
2023-09-25,A,B,10,3965739,873641174
2023-08-31,A,B,10,4090720,858906650
2023-07-16,A,B,10,4886880,1152373244
2023-08-10,A,B,10,4554158,957116818
2023-08-16,A,B,10,4849003,935096556
2023-08-29,A,B,10,3586677,772711102
2023-09-16,A,B,10,4651255,1094321853
2023-08-28,A,B,10,3846155,822449844
2023-09-04,A,B,10,3518781,738347089
2023-07-20,A,B,10,4411041,880923364
2023-06-16,A,B,10,3976630,813733805
2023-09-07,A,B,10,5109998,1025780971
2023-06-26,A,B,10,3975105,821544736
2023-07-05,A,B,10,4250302,874792630
2023-08-14,A,B,10,3722392,834802975
2023-10-01,A,B,10,5136525,1196790563
2023-08-27,A,B,10,5656157,1330485771
2023-09-24,A,B,10,5993998,1441502288
2023-09-06,A,B,10,4352725,882796374
2023-07-02,A,B,10,5747931,1287691083
2023-07-21,A,B,10,3840644,792396081
2023-08-08,A,B,10,3537194,762752231
2023-09-26,A,B,10,3537942,768758524
2023-06-01,A,B,10,4625409,964924423
2023-08-13,A,B,10,4550534,1083771202
2023-09-22,A,B,10,3293305,723228399
2023-06-03,A,B,10,4969478,1097735959
2023-08-06,A,B,10,5432714,1213844693
2023-08-03,A,B,10,4280634,874668020
2023-06-29,A,B,10,4132367,836629317
2023-09-09,A,B,10,5223006,1177060376
2023-07-15,A,B,10,4456667,1044239141
2023-08-02,A,B,10,4964750,974005989
2023-07-30,A,B,10,5546683,1359660442
2023-06-30,A,B,10,3619879,738433996
2023-07-17,A,B,10,4183496,934640689
2023-08-23,A,B,10,4999014,932024870
2023-09-15,A,B,10,3316166,718191227
2023-10-04,A,B,10,3768574,818164240
2023-09-01,A,B,10,3748117,793358132
2023-08-30,A,B,10,4280016,876423605
2023-10-11,A,B,10,4907366,983531258
2023-08-09,A,B,10,3749464,794646999
2023-07-03,A,B,10,3856456,809469225
2023-07-25,A,B,10,3545219,763476882
2023-09-18,A,B,10,4247116,964983168
2023-06-15,A,B,10,3817842,766251202
2023-09-28,A,B,10,4477696,888330962
2023-09-19,A,B,10,3652679,804799321
2023-08-11,A,B,10,4126402,924628312
2023-06-22,A,B,10,3482300,736781687
2023-07-28,A,B,10,3632307,764009096
2023-09-02,A,B,10,5189278,1125189845
